"%s was successfully added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Loading next step...","Der nächste Schritt wird geladen..."
"Login","Anmelden"
"Manage Checkout Terms and Conditions","Bezahlvorgangs-AGBs verwalten"
"Maximum display Recently added item(s)","Maximal angezeigte kürzlich hinzugefügte Artikel"
"Maximum qty allowed for Shipping to multiple addresses is %s","Höchstbestellmenge für Versand an mehrere Adressen ist %s"
"Move to Wishlist","Zum Wunschzettel verschieben"
"My Account","Mein Benutzerkonto"
"My Cart","My Cart"
"My Cart (%s item)","Mein Warenkorb (%s Artikel)"
"My Cart (%s items)","Mein Warenkorb (%s Artikel)"
"My Cart Link","Mein Warekorb Link"
"New Address","Neue Adresse"
"New Condition","Neue Bedingung"
"Order #","Bestellung #"
"Order Review","Bestellungsübersicht"
"Order Success","Bestellung erfolgt"
"Other items in your order","Other items in your order"
"Password","Kennwort"
"Payment Failed Email Reciever","Zahlungsfehler-E-Mail-Empfänger"
"Payment Failed Email Sender","Zahlungsfehler-E-Mail-Absender"
"Payment Failed Emails","Zahlungsfehler-E-Mails"
"Payment Failed Template","Zahlungsfehler-Vorlage"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlart"
"Payment method is not defined","Die Zahlungsart ist nicht definiert"
"Place Order","Bestellung aufgeben"
"Please <a href=""%s"">continue shopping</a>.","Bitte <a href=""%s"">setzen Sie Ihren Einkauf fort</a>."
"Please agree to all Terms and Conditions before placing the order.","Bitte den AGBs zustimmen vor dem Absenden der Bestellung."
"Please agree to all Terms and Conditions before placing the orders.","Bitte den AGBs zustimmen vor dem Absenden der Bestellungen."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte eine gültige Postleitzahl eingeben. z.B. 8000."
"Please log in below:","Bitte melden Sie sich hier an:"
"Please select region, state or province","Bitte Kanton angeben"
"Please select shipping address for applicable items","Bitte die Versandadresse für anwendbare Artikel auswählen"
"Please select shipping methods for all addresses","Bitte wählen Sie die Versandmethoden für alle Adressen"
"Price","Preis"
"Proceed to Checkout","Zur Kasse gehen"
"Product","Produkt"
"Product Name","Produktname"
"Product does not exist","Produkt existiert nicht"
"Qty","Stk."
"Quote Lifetime (days)","Lebenszeit (in Tagen) angeben"
"Recently added item(s)","Kürzlich hinzugefügte Artikel"
"Register","Registrieren"
"Register and save time!","Registrieren und Zeit sparen!"
"Register to Create an Account","Registrieren Sie sich zum Erstellen eines Benutzerkontos"
"Register with us for future convenience:","Registrieren Sie sich: Vereinfachen Sie damit Ihren nächsten Einkauf:"
"Remove","Entfernen"
"Remove Item","Artikel entfernen"
"Remove Product","Artikel entfernen"
"Remove item","Artikel entfernen"
"Review Order","Bestellung überprüfen"
"Review Order - %s","Bestellung überprüfen - %s"
"Sales","Verkäufe"
"Save Condition","Bedingung speichern"
"Save in address book","Im Adressbuch speichern"
"Select Address","Adresse auswählen"
"Select Addresses","Adressen auswählen"
"Select Shipping Method","Versandmethode auswählen"
"Select State/Province...","Kanton auswählen..."
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder legen Sie eine  <a href=""#"" onclick=""billing.newAddress(true); return false;"">neue Adresse</a> an."
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder fügen Sie eine <a href=""#"" onclick=""shipping.newAddress(true); return false;"">neue Adresse</a> ein."
"Send Payment Failed Email Copy Method","Zahlungsfehler-E-Mail-Senden Kopiermethode"
"Send Payment Failed Email Copy To","Zahlungsfehler-E-Mail-Kopie senden an"
"Send to","Senden an"
"Ship to Multiple Addresses","An mehrere Adressen versenden"
"Ship to different address","Versand an andere Adresse"
"Ship to this address","Versand an diese Adresse"
"Shipping Address","Versandadresse"
"Shipping Information","Versandangaben"
"Shipping Method","Versandart"
"Shipping Methods","Versandarten"
"Shipping method has not been selected yet","Es wurde noch keine Versandart ausgewählt"
"Shipping selection is not applicable","Versand-Auswahl ist nicht anwendbar"
"Shipping to","Verschicken an"
"Shopping Cart","Warenkorb"
"Shopping Cart Sidebar","Warenkorb-Sidebar"
"Shopping Cart is Empty","Der Warenkorb ist leer"
"Show Content as","Inhalt zeigen als"
"Some of the products you requested are not available in the desired quantity","Einige der gewünschten Artikel sind nicht in genügender Stückzahl vorhanden"
"Some of the products you requested are unavailable","Einige der gewünschten Artikel sind nicht verfügbar"
"Sorry, Onepage Checkout is disabled.","Sorry, einfacher Bezahlvorgang ist deaktiviert."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, Gast-Kasse ist nicht aktiviert. Bitte erneut versuchen oder Shopbetreiber kontaktieren."
"Sorry, no quotes are available for this order at this time.","Es tut uns leid, aber zur Zeit sind keine Angebote für diese Bestellung verfügbar."
"State/Province","Kanton"
"Status","Status"
"Store View","Shop-Ansicht"
"Street Address","Straße"
"Street Address ","Street Address "
"Submitting order information...","Bestellung wird übermittelt..."
"Subtotal","Zwischensumme"
"Telephone","Telefon"
"Terms and Conditions","AGBs"
"Terms and Conditions Information","AGB-Informationen"
"Terms and conditions","AGBs"
"Text","Text"
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Sie haben <a href=""%s""><strong>%s Artikel</strong></a> in Ihrem Warenkorb."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","<a href=""%s""><strong>1 Artikel</strong></a> im Warenkorb."
"There is already a customer registered using this email address","Es ist bereits ein Kunde mit dieser E-Mail-Adresse registriert!"
"There was an error processing your order. Please contact us or try again later.","Fehler beim Bearbeiten Ihrer Bestellung. Bitte kontaktieren Sie uns oder versuchen Sie es später nochmals."
"This condition no longer exists","Diese Bedingung existiert nicht mehr"
"Total","Total"
"Total for this address","Gesamtsumme für diese Adresse"
"Unit Price","Stückpreis"
"Update Qty &amp; Addresses","Menge und Adressen aktualisieren"
"Update Shopping Cart","Warenkorb aktualisieren"
"Update Total","Gesamtsumme aktualisieren"
"Use Billing Address","Rechnungsadresse verwenden"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zur Zeit bearbeiten wir Ihre Bestellung... Sie werden bald eine E-Mail mit Details zu Ihrer Bestellung erhalten.<br/>Nach erfolgtem Versand bekommen Sie eine weitere E-Mail mit einem Link zur Überwachung des Versandwegs."
"You have no items in your shopping cart.","Sie haben keine Artikel im Warenkorb."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie werden eine E-Mail mit einer detaillierten Bestell-Bestätigung erhalten sowie einen Link zur Überprüfung des Fortschritts Ihrer Bestellung."
"Your Checkout Progress","Fortschritt Ihres Bezahlvorgangs"
"Your order # is: %s","Ihre Auftragsnummer lautet %s"
"Your order # is: <a href=""%s"">%s</a>","Ihre Bestellungs-Nr. lautet: <a href=""%s"">%s</a>"
"Your order has been received","Ihre Bestellung ist eingegangen"
"Your order number is ","Ihre Bestellungsnummer lautet "
"Zip/Postal Code","PLZ"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","getrennt durch "","""
"My Cart","Mein Warenkorb"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
