"%s already exist","%s existieren bereits"
"%s already exists","%s existiert bereits"
"-- Please Select --","-- Bitte auswählen --"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ungültiger Parameter für Layout-Aktualisierung, Mage_Core_Model_Layout_Element wird erwartet"
"Invalid layout update handle","Ungültiger Layoutupdate Alias"
"Invalid messages storage ""%s"" for layout messages initialization","Ungültiger Nachrichtenspeicher ""%s"" für die Initialisierung der Nachrichtenvorlage"
"Invalid transactional email code: ","Ungültiger E-Mail-Transaktionscode"
"Invalid websites configuration path: %s","Falscher Webseiten-Konfigurationspfad: %s"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Leer lassen für den Zugriff von jedem beliebigen Zugangspunkt."
"Locale","Lokalisierung"
"Locale options","Optionen für Lokalisierungen"
"Log Settings","Log-Einstellungen"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Protokolliere von Mage::log(). Die Datei befindet sich in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Protokolliere von Mage::logException(). Die Datei befindet sich in {{base_dir}}/var/log"
"Logo Image Alt","Alt-Text Logobild"
"Logo Image Src","Quellpfad Logobild"
"Manage Stores","Shops verwalten"
"Match expressions in the same order as displayed in the configuration.","Ausdrücke in der selben Reihenfolge wie in der Konfiguration angezeigt."
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous scripts","Diverse Skripts"
"Model class does not exist: %s","Modellklasse existiert nicht: %s"
"Model collection resource name is not defined","Quellenname der Modellzusammenstellung ist nicht definitiert"
"Module ""%1$s"" can not be depended from ""%2$s""","Modul ""%1$s"" kann nicht abhängig sein on ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Modul ""%1$s"" benötigt Modul ""%2$s"""
"Name","Name"
"New Design Change","Neue Gestaltungsänderung"
"New Store","Neuer Shop"
"New Store View","Neue Shop-Ansicht"
"New Website","Neue Website"
"No","Nein"
"Package","Paket"
"Please choose to register or to checkout as a guest","Bitte Registrieren oder Checkout als Gast wählen"
"Please define flag code.","Bitte den Flag-Code definieren."
"Please enter 6 or more characters.","Bitte geben Sie 6 oder mehr Zeichen ein."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Bitte geben Sie 6 oder mehr Zeichen ein. Führende und Leerschläge am Ende werden ignoriert."
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl grösser 0 in dieses Feld ein."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen CHF-Betrag ein. Zum Beispiel  CHF 100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte geben Sie eine gültige URL ein. Zum Beispiel http://www.beispiel.de oder www.beispiel.de"
"Please enter a valid URL. http:// is required","Bitte geben Sie eine gültige URL ein. http:// wird benötigt"
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer ein."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum ein."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte geben Sie eine gültige E-Mail-Adresse ein. Zum Beispiel m_muster@domain.ch."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Zahl in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte geben Sie eine gültige AHV-/Sozialversicherungsnummer ein. Zum Beispiel 123.45.678.912."
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte geben Sie eine gültige Postleitzahl ein. Zum Beispiel 8000."
"Please enter valid password.","Bitte geben Sie ein gültiges Passwort ein."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Bitte sicherstellen, dass die Basis-URL mit '/' (slash) endet, z.B. http://yourdomain/magento/"
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please select State/Province.","Bitte wählen Sie das Land/Kanton."
"Please select an option.","Bitte wählen Sie eine Option."
"Please select one of the above options.","Bitte wählen Sie eine der obigen Optionen."
"Please select one of the options.","Bitte wählen Sie eine der Optionen."
"Please specify payment method.","Bitte Zahlungsart angeben."
"Please specify shipping method.","Bitte Versandart angeben."
"Please use letters only (a-z or A-Z) in this field.","Bitte in diesem Feld nur Buchstaben benutzen (a-z oder A-Z)."
"Please use letters only (a-z) in this field.","Bitte benutzen Sie nur Buchstaben (a-z) in diesem Feld."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Bitte benutzen Sie nur Ziffern in diesem Feld. Vermeiden Sie Leer- oder andere Zeichen wie Punkte oder Kommas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bitte benutzen Sie nur Buchstaben (a-z) oder Ziffern (0-9) in diesem Feld. Es sind keine Leer- oder andere Zeichen erlaubt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bitte benutzen Sie nur Buchstaben (a-z), Ziffern (0-9) oder Leerzeichen und # in diesem Feld."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bitte benutzen Sie nur Buchstaben (a-z), Ziffern (0-9) oder Unterstriche (_) in diesem Feld, das erste Zeichen sollte ein Buchstabe sein."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte benutzen Sie dieses Datumsformat: tt/mm/jjjj. Zum Beispiel 17/03/2008 für den 17. März 2008."
"Please wait, loading...","Bitte warten, wird geladen..."
"Polls","Umfragen"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype-Deprecation-Log"
"Request path for specified store","Anfragepfad für angegebenen Shop"
"Requested invalid store ""%s""","Ungültigen Shop ""%s"" aufgerufen"
"Resource is not set","Ressource ist nicht gesetzt"
"Root Category","Rootkategorie"
"SMTP settings (Windows server only)","SMTP Einstellungen (nur Windows-Server)"
"Sales representative","Aussendienstmitarbeiter"
"Save","Speichern"
"Save Store","Shop speichern"
"Save Store View","Shop-Ansicht speichern"
"Save Website","Website speichern"
"Search Engines Optimization","Suchmaschinenoptimierung"
"Secure","Sicher"
"Security","Sicherheit"
"Select Date","Datum wählen"
"Sender email","E-Mail-Absender"
"Sender name","Absendername"
"Services","Dienste"
"Session Cookie management","Verwaltung der Sitzungscookies"
"Session Lifetime, Seconds","Session-Gültigkeitsdauer, Sekunden"
"Session Validation Settings","Session-Validierungs-Einstellungen"
"Set as default","Set as default"
"Skin (Images / CSS)","Skin (Bilder / CSS)"
"Sort order","Sortierreihenfolge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angegebenes Datum/Zeit ""%1$s"" stimmt nicht mit dem Format ""%2$s"" überein."
"Specify either category or product, or both.","Entweder Kategorie oder Produkt angeben, oder beides."
"Start date can't be greater than end date","Das Startdatum kann nicht nach dem Enddatum liegen"
"Startup page","Startseite"
"Status","Status"
"Store","Shop"
"Store Email Addresses","Shop-E-Mail-Adressen"
"Store Information","Shop-Information"
"Store Name","Shop-Name"
"Store View","Shop-Ansicht"
"Store View Information","Shop-Ansicht-Information"
"Store View Name","Shop-Ansicht-Name"
"Store View was successfully saved","Shop-Ansicht wurde gespeichert."
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Shop-Code sollte nur aus Buchstaben (a-z), Ziffern (0-9) oder Unterstrich (_) bestehen. Das erste Zeichen muss ein Buchstabe sein."
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Shop-Ansicht existiert nicht"
"Store view was successfully deleted.","Shop-Ansicht wurde gelöscht."
"Store was successfully deleted.","Shop wurde gelöscht"
"Store was successfully saved","Shop wurde gespeichert"
"Store with the same code","Shop mit identischem Identifikationscode"
"System","System"
"System Log File Name","Systemlog-Dateiname"
"Template Path Hints","Vorlagen-Pfadhinweise"
"Templates","Vorlagen"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Die eingegebene %s ist ungültig. Bitte sicherstellen, dass es dem Format ""http://domain.com/"" entspricht."
"Themes","Themes"
"This category and all its child elements","Diese Kategorie und all ihre Unterelemente"
"This category and its child categories only","Diese Kategorie und nur ihre Unterkategorien"
"This category and its products only","Diese Kategorie und nur ihre Produkte"
"This category only","Diese Kategorie"
"This is a required field.","Dies ist ein Pflichtfeld."
"This store cannot be deleted","Dieser Shop kann nicht gelöscht werden"
"This store cannot be deleted.","Dieser Shop kann nicht gelöscht werden."
"This store view cannot be deleted","Diese Shop-Ansicht kann nicht gelöscht werden"
"This store view cannot be deleted.","Diese Shop-Ansicht kann nicht gelöscht werden."
"This website cannot be deleted","Diese Website kann nicht gelöscht werden"
"This website cannot be deleted.","Diese Website kann nicht gelöscht werden."
"This will be displayed just before body closing tag","Dies wird vor dem Body-Endtag angezeigt"
"This will be included before head closing tag in page HTML","Dies wird im Seiten-HTML vor dem Head-Endtag eingesetzt"
"Timezone","Zeitzone"
"Title Prefix","Titel-Präfix"
"Title Suffix","Titel-Suffix"
"Translate Inline","Inline übersetzen"
"Translate cache should be disabled for both Frontend and Admin inline translations","Cache übersetzen sollte für beides Frontend- und Admin-Inline-Übersetzungen deaktivierts ein"
"Translations","Übersetzungen"
"Unable to delete store view. Please, try again later.","Kann die Shop-Ansicht nicht löschen. Bitte versuchen Sie es später nochmals."
"Unable to delete store. Please, try again later.","Kann den Shop nicht löschen. Bitte versuchen Sie es später nochmals."
"Unable to delete website. Please, try again later.","Kann die Website nicht löschen. Bitte versuchen Sie es später nochmals."
"Unable to proceed. Please, try again","Vorgang konnte nicht ausgeführt werden. Bitte versuchen Sie es später noch einmal."
"Unknown scope ""%s""","Unbekannter Geltungsbereich ""%s"""
"Unsecure","Ungesichert"
"Url Options","URL-Optionen"
"Use HTTP Only","Nur HTTP benutzen"
"Use Secure URLs in Admin","Verwende sichere URL im Administrationsbereich"
"Use Secure URLs in Frontend","Verwende sichere URL im Shopbereich"
"Use Web Server Rewrites","Verwende Webserver-Rewrites"
"Use custom admin URL","Eigene Admin-URL benutzen"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT validieren"
"Validate HTTP_VIA","HTTP_VIA validieren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR validieren"
"Validate REMOTE_ADDR","REMOTE_ADDR validieren"
"Values less than 60 are ignored.","Werte unter 60 werden ignoriert."
"Web","Web"
"Website","Website"
"Website Information","Website-Information"
"Website Name","Website-Name"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website-Code sollte nur aus Buchstaben (a-z), Ziffern (0-9) oder Unterstrich (_) bestehen. Das erste Zeichen muss ein Buchstabe sein."
"Website doesn't exist","Website existiert nicht"
"Website was successfully deleted.","Website wurde gelöscht"
"Website was successfully saved","Website wurde gespeichert"
"Website with the same code","Website mit identischem Identifikationscode"
"Weekend Days","Wochenend-Tage"
"Welcome Text","Willkommenstext"
"Wrong number of arguments for %s","Falsche Parameteranzahl für %s"
"Yes","Ja"
"Your order can not be completed at this time as there is no payment methods available for it.","Ihre Bestellung kann jetzt nicht abgeschlossen werden, da es dafür keine Zahlungsarten gibt."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Ihre Bestellung kann jetzt nicht abgeschlossen werden, da es dafür keine Versandarten gibt. Bitte die Versandadresse entsprechend ändern."
"Your session has been expired, you will be relogged in now.","Ihre Sitzung ist abgelaufen, Sie werden nun wieder neu eingeloggt."
"Search","Search"
"Go","Go"
"Search entire store here...","Im ganzen Shop suchen..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
