"# of Use","Anzahl Verwendungen"
"%1$s incl tax.","%1$s inkl. MwSt."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"(Copy data from: %s)","(Kopiere Daten von: %s)"
"Attrib. Set Name","Attributset-Name"
"Attribute Code","Attributcode"
"Attribute Information","Attributinformation"
"Attribute Label","Attributlabel"
"Attribute Model","Attributmodell"
"Attribute Name:","Attributname"
"Attribute Properties","Attributeigenschaften"
"Attribute Set","Attrbituset"
"Attribute group with the ""/name/"" name already exists","Attribut-Gruppe mit dem Namen ""/name/"" existiert bereits"
"Attribute model not defined","Attributmodell nicht definiert"
"Attribute with the same code already exists","Attribut mit diesem Code existiert bereits"
"Attributes","Attribute"
"Attrribute names can be specified per store.","Attribut-Namen können pro Shop angegeben werden."
"Autogenerate","Automatisch erzeugen"
"Availability","Verfügbarkeit"
"Availability: In stock.","Verfügbarkeit: Am Lager."
"Availability: Out of stock.","Verfügbarkeit: Nicht am Lager."
"Back","Zurück"
"Backend Model","Backend-Modell"
"Backend Table","Backend-Tabelle"
"Backend Table Title","Backend-Tabellentitel"
"Backorders","Nachbestellungen"
"Base directory to upload image file is not specified","Basisverzeichnis für Bilduploads nicht definiert"
"Based On","Basiert auf"
"Best Value","Bester Wert"
"Block after Info Column","Block nach der Info-Spalte"
"Bottom/Left","Unten links"
"Bottom/Right","Unten rechts"
"Browse By","Durchsuchen nach"
"Buy %1$s for %2$s","Kaufe %1$s für %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufe %1$s für je %2$s (%3$s inkl. MwSt.)"
"Buy %1$s for %2$s each","Kaufe %1$s für je %2$s"
"Can be used only with catalog input type Dropdown","Kann nur mit Dropdown-Feldern verwendet werden."
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kann nur mit den Katalog-Eingabetypen Dropdown, Mehrfachauswahl und Preis verwendet werden"
"Can't create image.","Kann Bild nicht erstellen."
"Cannot create writeable directory '%s'","Kann das schreibbare Verzeichnis '%s' nicht erstellen"
"Cart Item Attribute","Attribut des Artikels im Warenkorb"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Katalog-Eingabetyp für Shopbesitzer"
"Catalog Price Scope","Geltungsbereich des Katalog-Preises"
"Catalog Section","Bereich Katalog"
"Catalog, Search","Katalog, Suche"
"Categories","Kategorien"
"Categories Sitemap","Kategorien-Sitemap"
"Category","Kategorie"
"Category API","Kategorie-API"
"Category Data","Kategoriedaten"
"Category Navigation:","Kategorie-Navigation:"
"Category Products","Kategorie-Produkte"
"Category Top Navigation","Oberste Kategoriennavigation"
"Category URL Suffix","Kategorien-URL Suffix"
"Category attributes API","Kategorie-Attribute-API"
"Category delete error","Fehler beim Löschen der Kategorie"
"Category deleted","Kategorie gelöscht"
"Category move error","Fehler beim Verschieben der Kategorie"
"Category must be instance of Mage_Catalog_Model_Category","Kategorie muss eine Instanz von Mage_Catalog_Model_Category sein"
"Category saved","Kategorie gespeichert"
"Change","Änderungen"
"Change or Retrieve attribute store view","Ändere or finde Attribut-Shop-Ansicht"
"Change status","Status ändern"
"Check items to add to the cart or","zum in den Warenkork legen, Artikel anwählen"
"Choose an Option...","Option wählen..."
"Choose option...","Option wählen..."
"Clear All","Alles löschen"
"Clear All Items","Alle Artikel entfernen"
"Close Window","Fenster schliessen"
"Collapse All","Alles zuklappen"
"Comparable","Vergleichbar"
"Comparable on Front-end","Vergleichbar im Shop"
"Compare Items","Artikel vergleichen"
"Compare Products","Podukte vergleichen"
"Compare Products (%d)","Produkte vergleichen (%d)"
"Compare Products - %d Items","Produktvergleich <span class=""count"">- %d Artikel</span>"
"Compare Products List","Produktliste vergleichen"
"Compare list successfully cleared","Vergleichsliste gelöscht"
"Conditions Combination","Bedingungskombination"
"Configurable Product","Konfigurierbares Produkt"
"Configurable Product Settings","Einstellungen für konfigurierbares Produkt"
"Continue","Weiter"
"Copy From Configurable","Von konfigurierbarem Produkt kopieren"
"Country/State","Land/Kanton"
"Create","Erstellen"
"Create (Upload)","Erstellen (Upload)"
"Create Empty","Leeres Produkt anlegen"
"Create Product Settings","Produkteinstellungen anlegen"
"Create Simple Associated Product","Einfaches, verknüpftes Produkt anlegen"
"Create new category","Neue Kategorie"
"Create new product","Neues Produkt"
"Cross-sells","Cross-Selling"
"Currently Shopping by","Momentan einkaufen nach"
"Custom Design","Eigene Gestaltung"
"Custom Options","Eigene Optionen"
"Customer Group","Kundengruppe"
"Customers Reviews","Kundenmeinungen"
"Customers Tagged Product","von Kunden verschlagwortetes Produkt"
"Customers for alert %s was successfuly added to queue","Kundenbenachrichtigung %s wurde erfolgreich zur Warteschlange hinzugefügt."
"Data Type for Saving in Database","Datentyp in der Datenbank"
"Date","Datum"
"Date & Time Custom Options","Eigene Datum & Zeit Optionen"
"Date Subscribed","Anmeldedatum"
"Date fields order","Datumsfelder-Reihenfolge"
"Datetime","Datetime"
"Decimal","Dezimal"
"Decimal Number","Dezimalzahl"
"Declare attribute value saving scope","Geben Sie den Speicherbereich für den Attributwert an"
"Default Qty","Standardmenge"
"Default Values","Standardwerte"
"Default price","Standardpreis"
"Default value","Standardwert"
"Delete","Löschen"
"Delete Attribute","Attribut löschen"
"Delete Attribute Set","Attributset löschen"
"Delete Category","Kategorie löschen"
"Delete Option","Option löschen"
"Delete Row","Zeile löschen"
"Delete Search","Suche löschen"
"Delete Selected Group","Ausgewählte Gruppe löschen"
"Delete category","Kategorie löschen"
"Delete product","Produkt löschen"
"Depends on design theme","Abhängig von Gestaltung-Theme"
"Design","Gestaltung"
"Disabled","Deaktiviert"
"Display in Suggested Terms","Zeige in vorgeschlagenen Begriffen"
"Double click on a group to rename it","Doppelklicken Sie auf eine Gruppe, um diese umzubenennen"
"Double click on above image to view full picture","Doppelklicken Sie auf das Bild oben, um es in voller Grösse anzuzeigen"
"Dropdown","Dropdown"
"Duplicate","Duplizieren"
"Duplicate website tier price customer group and quantity.","Dupliziere Website, Staffelpreis, Kundengruppe und Stückzahl."
"Duplicate website, country and state tax found.","Ein Doppeleintrag für Website, Land und Kanton Steuer gefunden."
"Edit","Bearbeiten"
"Edit Attribute Set '%s'","Attributset '%s' bearbeiten"
"Edit Product Attribute","Produktattribut bearbeiten"
"Edit Product Attribute ""%s""","Produktattribut ""%s"" bearbeiten"
"Edit Search","Suche bearbeiten"
"Edit Search '%s'","Suche '%s' bearbeiten"
"Email","E-Mail"
"Email to a Friend","E-Mail an einen Freund"
"Empty","Leer"
"Enabled","Aktiviert"
"Error during retrieval of option value: %s","Fehler beim Abfragen des Optionswertes: %s"
"Error while adding customers for %s alert. Message: %s","Fehler beim einrichten der Kunden für %s Hinweis. Nachricht: %s"
"Error while saving this group. Group with the same name already exists.","Fehler beim Speichern dieser Gruppe. Gruppe mit dem gleichen Namen existiert bereitst."
"Error while saving this group. Please try again later.","Fehler beim speichern dieser Gruppe. Bitte versuchen Sie es später noch einmal."
"Exclude","Ausnahme"
"Expand All","Alle erweitern"
"Failed","Fehlgeschlagen"
"Failed to move file: %s","Verschieben der Datei fehlgeschlagen: %s"
"Feature Products","Besonders präsentierte Produkte"
"File options format is not valid","Datei-Optionenformat ist ungültig"
"File upload failed","Datei-Upload schlug fehl"
"Filter model name must be declared","Filter-Model-Name muss angegeben sein"
"Filter must be as object. Set correct filter please","Filter muss als Objekt vorliegen. Bitte korrekten Filter setzen"
"Filterable (no results)","Filterbar (keine Ergebnisse)"
"Filterable (with results)","Filterbar (mit Ergebnissen)"
"Filters must be as array","Filter muss als Array vorliegen"
"First Name","Vorname"
"Fixed","Festwert"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Nur für internen Gebrauch. Wert muss einmalig sein und darf keine Leerzeichen enthalten."
"For reindex enabled product(s) you need specify store or product","Für neu indexierbare Produkte, muss der Shop oder das Produkt angegeben werden"
"Frontend","Shop"
"Frontend Model","Shopmodel"
"Frontend Properties","Shop-Einstellungen"
"Gallery","Galerie"
"General Information","Allgemeine Information"
"Get special price","Spezialpreis laden"
"Global","Global"
"Globally Editable","Global bearbeitbar"
"Go to Home Page","Zur Startseite"
"Grid","Gitter"
"Grouped Product","kombiniertes Produkt"
"Groups","Gruppen"
"Home","Startseite"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Wenn Sie keinen Optionswert für eine spezifische Shop-Ansicht angeben, wird der Standard-(Admin-)wert benutzt."
"Image","Bild"
"Image content is not valid base64 data.","Der Bildinhalt entspricht nicht den gültigen base64 Daten."
"Image file not found","Bild nicht gefunden"
"Image not exists","Image not exists"
"Image not specified.","Bild nicht angegeben."
"Image type and information need to be specified for each store view.","Bildtyp und -information muss für jede Shop View separat hinterlegt werden."
"In Stock","Lieferbar"
"In stock","Lieferbar"
"In stock.","Am Lager."
"Incl. Tax","Inkl. MwSt."
"Input Type","Eingabetyp"
"Input Validation for Store Owner","Eingabeprüfung für Shopbesitzer"
"Integer","Ganzezahl"
"Integer Number","Ganze Zahl"
"Invalid Tier Prices","Ungültige Staffelpreise"
"Invalid attribute %s","Ungültiges Attribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ungültige Attributoption für Attribut %s (%s) definiert, überspringe den Eintrag"
"Invalid attribute set specified, skipping the record","Ungültige Attributoption für Attribut definiert, überspringe den Eintrag"
"Invalid block: %s","Ungültiger Block: %s"
"Invalid category","Ungültige Kategorie"
"Invalid category IDs","Ungültige Kategorie-IDs"
"Invalid image file type","Ungültiger Bild-Dateityp"
"Invalid image type.","Ungültiger Bildtyp."
"Invalid option id specified for %s (%s), skipping the record","Ungültige Options-ID angegeben für %s (%s), überspringe den Eintrag"
"Invalid product type specified, skipping the record","Ungültiger Produkttyp definiert, überspringe den Eintrag"
"Invalid store specified","Angegebener Shop ungültig"
"Invalid store specified, skipping the record","Ungültiger Shop definiert, überspringe den Eintrag"
"Inventory","Inventar"
"Is Default","Standard"
"Is Required","Benötigt"
"Items %s to %s of %s total","Artikel <strong>%s</strong> bis <strong>%s</strong> von <strong>%s</strong> gesamt"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel, die nicht im Katalog oder der Suche erscheinen sollen, sollten im jeweiligen Shop deaktiviert werden."
"Label","Bezeichnung"
"Last Name","Nachname"
"Last Notification","Letzter Hinweis"
"Learn More","Erfahren Sie mehr"
"Length of text is too long","Text ist zu lang"
"Letters","Buchstaben"
"Letters(a-zA-Z) or Numbers(0-9)","Letters(a-zA-Z) or Numbers(0-9)"
"Line %d, Email: %s","Zeile %d, E-Mail: %s"
"Line %d, SKU: %s","Zeile %d, Artikelnummer: %s"
"Link (Related, Up sell, Cross sell)","Link (verwandt, Zusatzverkauf, Cross-Selling)"
"Link product not exists.","Link product not exists."
"List","Liste"
"List Mode","Liste"
"Manage Attribute Sets","Attributsets verwalten"
"Manage Attributes","Attribute verwalten"
"Manage Catalog Categories","Katalogkategorien verwalten"
"Manage Categories","Kategorien verwalten"
"Manage Label / Options","Bezeichnungen/Optionen verwalten"
"Manage Options (values of your attribute)","Optionen (Werte Ihrer Attribute) verwalten"
"Manage Product Attributes","Produktattribute verwalten"
"Manage Product Sets","Produktsets verwalten"
"Manage Products","Produkte verwalten"
"Manage Stock","Lager verwalten"
"Manage Titles (Size, Color, etc.)","Titel verwalten (Grösse, Farbe, etc.)"
"Max Characters","Max. Anzahl Zeichen"
"Maximal Depth","Maximaltiefe"
"Maximum Image Size","Maximale Bild-Dateigrösse"
"Maximum Qty Allowed in Shopping Cart","Höchstbestellmenge"
"Maximum image height","Maximale Bildhöhe"
"Maximum image width","Maximale Bildbreite"
"Maximum number of characters","Maximale Anzahl Zeichen"
"Media Image","Bild"
"Minimum Lines Per Page","Minimale Anzahl Zeilen pro Seite"
"Minimum Qty Allowed in Shopping Cart","Mindestbestellmenge"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Missing SKU, skipping the record","Artikelnummer fehlt, Eintrag übersprungen."
"More Views","Mehr Ansichten"
"Move","Verschieben"
"Move category in tree","Kategorie im Baum verschieben"
"Multiple Select","Mehrfachauswahl"
"Name","Name"
"Name In %s","Name in %s"
"Name<br/>(For internal use)","Name<br/>(Nur für internen Gebrauch)"
"New Category","Neue Kategorie"
"New Product","Neues Produkt"
"New Product Attribute","Neues Produktattribut"
"New Products","Neue Produkte"
"New Search","Neue Suche"
"New Set Name","Neuer Setname"
"Next","Weiter"
"No","Nein"
"No image","Kein Bild"
"No layout updates","Keine Layoutupdates"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"No product collections found","Keine Produktzusammenstellungen gefunden"
"None","Nichts"
"Not shared with other products","Nicht mit anderen Produkten geteilt"
"Notify Low Stock RSS","Geringer Lagerbestand melden RSS"
"Notify for Quantity Below","Benachrichtigen, wenn Menge unter"
"Nowhere","Nirgends"
"Number of Uses","Anzahl der Verwendungen"
"Number of results<br/>(For last time placed)","Anzahl der Ergebnisse <br/>(zum letzten Mal gesetzt)"
"OR","ODER"
"Old Price:","Alter Preis:"
"Option validation failed to add product to cart","Optionsvalidierung konnte Produkt nicht zum Warenkorb hinzufügen"
"Option:","Option:"
"Options Control","Optionenkontrolle"
"Options is required","Option ist zwingend"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Unser Kundendienst ist rund um die Uhr erreichbar unter +41 (0)55 243 49 15."
"Out of Stock","Nicht mehr auf Lager"
"Out of stock","Nicht am Lager"
"Out of stock.","Nicht am Lager."
"PM","PM"
"Page Title Separator","Seitentiteltrenner"
"Page:","Seite:"
"Parent Category","Oberkategorie"
"Pending","Ausstehend"
"Pending Reviews RSS","Ausstehende Kundenmeinungen RSS"
"Percentage","Prozentsatz"
"Please add rows to option.","Bitte Zeilen in der Option hinzufügen."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Bitte Vorsicht, weil sobald Sie auf die Zeile klicken die Paketdaten aus der gewählten Datei geladen werden und alle nicht gespeicherten Formulardaten verloren gehen."
"Please click on Close Window button if it won't be closed automatically","Bitte den 'Fenster schliessen'-Knopf klicken, falls es nicht von selbst schliesst"
"Please enter a new group name","Bitte geben Sie einen neuen Gruppennamen ein"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Bitte die ""Katalog-Rewrites"" und ""Ebenen-Navigation-Indexe"" im System aktualisieren -> <a href=""%s"">Cache-Verwaltung</a>"
"Please select  items","Bitte Artikel auswählen"
"Please select one or more attributes.","Bitte wählen Sie ein oder mehrere Attribut(e)"
"Please select product(s)","Bitte wählen Sie ein oder mehrere Produkt(e)"
"Please select products for attributes update","Bitte Produkte für Attributeaktualisierung auswählen "
"Please select static block ...","Bitte statischen Block auswählen ..."
"Please set up merge date/time .","Bitte Datum/Zeit für das Zusammen einrichten."
"Please specify date required option(s)","Bitte die erforderlichen Datumsoption(en) angeben"
"Please specify the product option(s)","Bitte die Produktoption(en) angeben"
"Please specify the product required option(s)","Bitte die erforderlichen Produktoption(en) angeben"
"Please specify the product(s) quantity","Bitte die Anzahl für Produkt(e) angeben"
"Please specify time required option(s)","Bitte die erforderlichen Zeitoption(en) angeben"
"Please, use four-digit year format","Bitte 4-stellige Jahresangabe verwenden"
"Position","Position"
"Position In Layered Navigation","Position in Filter-Navigation"
"Position of attribute in layered navigation block","Position des Attributs in Filter-Navigation"
"Prev","Zurück"
"Previous","Zurück"
"Price","Preis"
"Price Type","Preistyp"
"Price values for options should be specified in system base currency.","Preisangaben für Optionen sollten in der im Shop eingestellten Basiswährung eingegeben werden."
"Price:","Preis:"
"Print This Page","Diese Seite drucken"
"Problem saving the collection, aborting. Error: %s","Vorgang abgebrochen. Beim Speichern der Zusammenstellung traten Probleme auf. Fehler: %s"
"Product","Produkt"
"Product %s successfully added to compare list","Produkt %s zur Vergleichsliste hinzugefügt"
"Product %s successfully removed from compare list","Produkt %s von der Vergleichsliste entfernt"
"Product API","Produkt-API"
"Product Alerts","Produktbenachrichtigungen"
"Product Attribute","Produktattribute"
"Product Attributes","Produktattribute"
"Product Categories","Produktkategorien"
"Product Description","Produktbeschreibung"
"Product Image Placeholders","Produktbild-Platzhalter"
"Product Image Watermarks","Produktbild-Wasserzeichen"
"Product Images","Produktbilder"
"Product Images API","Produktbilder-API"
"Product In Websites","Produkt auf Websites"
"Product Info Column","Spalte Produkt-Info"
"Product Information","Produktinformationen"
"Product Name","Produktname"
"Product Reviews","Kundenmeinungen"
"Product Tags","Schlagwörter"
"Product Tier Price API","Produkt-Staffelpreis-API"
"Product Type","Produkttyp"
"Product URL Suffix","Produkt-URL-Suffix"
"Product attribute sets API","Produkt-Attributsets-API"
"Product attribute was successfully deleted","Produktattribut wurde gelöscht"
"Product attribute was successfully saved","Produktattribut wurde gespeichert"
"Product attributes API","Produkt-Attribut-API"
"Product collection expected","Produktsammlung erwartet"
"Product deleted","Produkt gelöscht"
"Product duplicated","Produkt dupliziert"
"Product has required options","Produkt hat benötigte Optionen"
"Product links API (related, cross sells, up sells)","Produktlinks-API (verwandt, Cross-Selling, Zusatzverkäufe)"
"Product listing sort by","Produktliste sortieren nach"
"Product saving error.","Fehler beim Speichern des Produkts."
"Product saving error. ","Fehler beim Speichern des Produkts. "
"Product types API","Produktyp-API"
"Product was successfully created.","Produkt wurde angelegt."
"Product was successfully saved.","Produkt wurde gespeichert."
"Product with this combination of attributes already associated to configurable.","Produktkombination mit Attributen existiert bereits im konfigurierbaren Produkt."
"Products","Produkte"
"Products Information","Produktinformationen"
"Products Reviews","Kundenbewertungen"
"Products Sitemap","Produkte-Sitemap"
"Products only","Nur Produkte"
"Products per Page on Grid default value","Standardwert für Produkte pro Seite im Gitter"
"Products per Page on List allowed values","Erlaubte Werte für Produkte pro Seite in Liste"
"Products per Page on List default value","Standardwert für Produkte pro Seite in Liste"
"Products per page on Grid allowed values","Erlaubte Werte für Produkte pro Seite im Gitter"
"Properties","Eigenschaften"
"Qty","Anz."
"Qty Uses Decimals","Anzahl kann Dezimalzahl sein"
"Qty for Item's Status to become Out of Stock","Anzahl Artikel für Status 'Nicht mehr am Lager'"
"Quick Create","Schnellanlegen"
"Quick Overview","Kurzübersicht"
"Quick simple product creation","Schnellanlegen einfaches Produkt"
"Records for ""","Datensätze für """
"Redirect","Weiterleitung"
"Redirect URL","Weiterleitung URL"
"Regular Price:","Regulärer Preis:"
"Related Products","Ähnliche Produkte"
"Remove","Entfernen"
"Remove Product","Produkt entfernen"
"Remove Product From Websites","Produkt von den Websites entfernen"
"Remove This Item","Artikel entfernen"
"Remove product assignment","Produktzuordnung entfernen"
"Remove product image","Produktbild entfernen"
"Remove product link","Produktlink entfernen"
"Required","Pflichtfeld"
"Reset","Zurücksetzen"
"Results","Ergebnisse"
"Retrieve attribute data","Attributdaten finden"
"Retrieve attribute list","Attributliste finden"
"Retrieve attribute options","Attributoptionen finden"
"Retrieve categories tree","Kategorienbaum finden"
"Retrieve category attributes","Kategorienattribute finden"
"Retrieve category data","Kategoriendaten finden"
"Retrieve hierarchical tree","Hierarchische Daten finden"
"Retrieve linked products","Verlinkte Produkte finden"
"Retrieve list of assigned products","Liste zugewiesener Produkte finden"
"Retrieve one level of categories by website/store view/parent category","Eine Kategorienebene finden nach Website/Shop-Ansicht/Überkategorie"
"Retrieve product","Produkt finden"
"Retrieve product attribute sets","Produkt-Attributsets finden"
"Retrieve product image","Produktbild finden"
"Retrieve product image list","Liste der Produktbilder finden"
"Retrieve product image types","Typen der Produktbilder finden"
"Retrieve product link type attributes","Produkt-Linktyp-Attribute finden"
"Retrieve product link types","Produktlinktypen finden"
"Retrieve product tier prices","Produkt-Staffelpreise finden"
"Retrieve product types","Produkttypen finden"
"Retrieve products data","produktfdaten finden"
"Retrieve products list by filters","Produktliste nach Filtern finden"
"Review successfully deleted","Kundenmeinung gelöscht"
"Review was saved successfully","Kundenmeinung gespeichert"
"Review was successfully saved","Kundenmeinung gespeichert"
"Reviews","Kundenmeinungen"
"Roll Over for preview","Mit der Maus überfahren für Vorschaubild"
"Root","Root"
"SKU","Artikelnummer"
"Save","Speichern"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Save Attribute","Attribut speichern"
"Save Attribute Set","Attributset speichern"
"Save Category","Kategorie speichern"
"Save Search","Suche speichern"
"Saved ","Gespeichert"
"Scope","Geltungsbereich"
"Search","Suche"
"Search Engine Optimizations","Suchmaschinen-Optimierung"
"Search Information","Suchinformationen"
"Search Query","Suchanfrage"
"Search Term was successfully saved","Suchbegriff wurde gespeichert"
"Search Term with such search query already exist.","Ein Suchbegriff mit dieser Suchabfrage existiert bereits."
"Search was successfully deleted","Suche wurde erfolgreich gelöscht"
"Searchable","durchsuchbar"
"Select Configurable Attributes ","Wählen Sie die konfigurierbaren Attribute"
"Select type of option","Optionstyp wählen"
"Select type options required values rows.","Zeilen benötigter Werte für Optionstyp wählen."
"Selected Product Types","Ausgewählte Produkttypen"
"Selected configuration is not available.","Die gewählte Konfiguration ist nicht verfügbar."
"Send Count","Zählerstand senden"
"Set Ascending Direction","In aufsteigender Reihenfolge"
"Set Descending Direction","In absteigender Reihenfolge"
"Set Name","Setname"
"Set Root Category For Store","Rootkategorie für Shop festlegen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Rootkategorie für diesen Shop in der <a href=""%s"">Konfiguration</a> festlegen"
"Set special price","Spezialpreis einrichten"
"Set/Get current store view","Aktuelle Shop-Ansicht einrichten/laden"
"Settings","Einstellungen"
"Shop by","Shop von"
"Shopping Options","Einkaufsoptionen"
"Show","Zeige"
"Show Details","Details anzeigen"
"Show Tags","Schlagwörter anzeigen"
"Simple Product","Einfaches Produkt"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Import der Zeile übersprungen, ungültiger Wert ""%s"" im Feld ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Import der Zeile übersprungen, zwingendes Feld ""%s"" für neuen Kunden fehlt"
"Skip import row, required field ""%s"" for new products not defined","Import der Zeile übersprungen, zwingendes Feld ""%s"" für neues Produkt fehlt"
"Skip import row, required field ""%s"" not defined","Import der Zeile übersprungen, zwingendes Feld ""%s"" fehlt"
"Skip import row, store ""%s"" field not exists","Import der Zeile übersprungen, Shop-Feld ""%s"" fehlt"
"Sort Order","Reihenfolge"
"Sort by","Sortierung"
"Source Model","Quellen-Modell"
"Special Price:","Spezialpreis:"
"Starting at:","Beginnend bei:"
"Static","Statisch"
"Static block and products","Statischer Block und Produkte"
"Static block only","Nur statischen Block"
"Status","Status"
"Stock Availability","Lager-Verfügbarkeit"
"Store","Shop"
"Store View","Shop-Ansicht"
"Stretch","Dehnen"
"Subscribe to Feed","RSS-Feed abonnieren"
"Subscribe to RSS Feed","RSS-Feed abonnieren"
"Super product attributes configuration","Attributkonfiguration für Oberprodukt"
"Synonym For","Synonym für"
"Synonym for","Synonym für"
"System","System"
"System Properties","Systemeinstellungen"
"Tag Name","Schlagwort"
"Tax","Steuer"
"Text","Text"
"Text Area","Textbereich"
"Text Field","Textfeld"
"There are no %s available.","Keine %s verfügbar."
"There are no customers for this alert","Für diese Benachrichtigung gibt es keine Kunden"
"There are no products matching the selection.","Es sind keine zur Auswahl passenden Produkte vorhanden."
"There was an error while adding products to websites","Beim Hinzufügen von Produkten zu den Websites ist ein Fehler aufgetreten"
"There was an error while cleared compare list","Beim Löschen der Vergleichsliste ist ein Fehler aufgetreten"
"There was an error while removing products from websites","Beim Entfernen von Produkten von den Websites ist ein Fehler aufgetreten"
"There was an error while updating product(s) attributes","Fehler beim Aktualisieren der Produktattribute"
"There was an error while updating product(s) status","Beim Aktualisieren von Produktstatus/-stati ist ein Fehler aufgetreten"
"This attribute no longer exists","Das Attribut existiert nicht mehr"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Diese Gruppe beinhaltet Atribute, die in konfigurierbaren Produkten benutzt werden. Bitte diese Attribute in eine andere Gruppe verschieben und erneut versuchen."
"This group contains system attributes. Please move system attributes to another group and try again.","Diese Gruppe enthält Systemattribute. Bitte verschiebe die Systemattribute in eine andere Gruppe und versuche es noch einmal."
"This is a required option","Diese Option ist benötigt"
"This search no longer exists","Diese Suche existiert nicht mehr"
"Tier Pricing","Staffelpreise"
"Tile","Kachel"
"Time format","Zeitformat"
"Title","Titel"
"Top/Left","Oben links"
"Top/Right","Oben rechts"
"Total Qty Base Items","Total Anzahl Basisartikel"
"Total incl. Tax: %1$s","Total inkl. MwSt.: %1$s"
"Total of %d record(s) were successfully deleted","Alle %d Einträge wurden gelöscht."
"Total of %d record(s) were successfully updated","Alle %d Einträge wurden aktualisiert."
"Type","Typ"
"Unable to complete request. Please try again later.","Anfrage konnte nicht ausgeführt werden. Bitte versuchen Sie es später noch einmal."
"Unable to find a search term to delete","Es wurde kein Suchbegriff zum Löschen gefunden"
