"* Required Fields","* Pflichtfelder"
"Customer Addresses","Kundenanschrift"
"Customer Api","Kunden-API"
"Customer Configuration","Kundenkonfiguration"
"Customer Group","Kundengruppe"
"Customer Group was successfully deleted","Kundengruppe wurde gelöscht"
"Customer Group was successfully saved","Kundengruppe wurde gespeichert"
"Customer Groups","Kundengruppen"
"Customer Information","Kundeninformation"
"Customer Login","Kunden-Login"
"Customer Since","Kunde seit"
"Customer View","Kundenansicht"
"Customer collection expected","Kundensammlung erwartet"
"Customer doesn't have primary billing address","Kunde hat keine primäre Rechnungsadresse"
"Customer email already exists","Diese E-Mail-Adresse besteht bereits."
"Customer website id must be specified, when using website scope.","Kunden-Website-ID muss angegeben sein, wenn Website-Scope benutzt wird."
"Customers","Kunden"
"Customers Only","Ausschliesslich Kunden"
"Customers Section","Bereich Kunden"
"DD","TT"
"Date","Datum"
"Date Added","Hinzugefügt am"
"Date of Birth","Geburtsdatum"
"Date of Birth is required.","Geburtsdatum wird benötigt."
"Day","Tag"
"Days in Wishlist","Tage auf dem Wunschzettel"
"Default Addresses","Standardadressen"
"Default Billing Address","Standard-Rechnungsadresse"
"Default Email Domain","Standard-E-Mail-Domain"
"Default Group","Standardgruppe"
"Default Shipping Address","Standard-Versandanschrift"
"Default Welcome Email","Standard-Willkommens-E-Mail"
"Delete","Löschen"
"Delete Address","Adresse löschen"
"Delete Customer","Kunden löschen"
"Delete Customer Group","Kundengruppe löschen"
"Delete customer","Kunden löschen"
"Delete customer address","Kundenadresse löschen"
"Deleted Stores","Gelöschte Shops"
"Details","Details"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Account Info","Konteninformationen bearbeiten"
"Edit Account Information","Benutzerkonto bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Address Entry","Adresseintrag bearbeiten"
"Edit Customer Group ""%s""","Kundengruppe ""%s"" bearbeiten"
"Edit Customer Groups","Kundengruppen bearbeiten"
"Edit Customer's Address","Kundenanschrift bearbeiten"
"Edit Group","Gruppe bearbeiten"
"Edit Newsletter Subscription","Newsletter-Abonnement bearbeiten"
"Edit Newsletters","Newsletter bearbeiten"
"Edit Personal Information","Persönliche Informationen bearbeiten"
"Email","E-Mail"
"Email Address","E-Mail-Adresse"
"Email Sender","E-Mail-Absender"
"Entity collection is expected","Datensatz-Zusammenstellung wird erwartet"
"Error during retrieval of option value: %s","Fehler beim Abfragen des Optionswerts: %s"
"Ext. Price","Ext. Preis"
"Failed to confirm customer account.","Kundenkonto konnte nicht bestätigt werden."
"Fax","Fax"
"First Name","Vorname"
"First name can't be empty","Vorname kann nicht leer sein"
"Forgot Email Sender","E-Mail Absender vergessen"
"Forgot Email Template","E-Mail Vorlage vergessen"
"Forgot Your Password?","Kennwort vergessen?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","In Ihrer ""Mein Konto""-Übersicht haben Sie die Möglichkeit, eine Momentaufnahme Ihrer jüngsten Konto-Aktivitäten anzusehen sowie Ihre Kontoinformationen zu aktualisieren. Wählen Sie einen der untenstehenden Links zur Ansicht oder zum Ändern der Angaben."
"General Subscription","Allgemeines Abonnement"
"Global","Global"
"Go to Address Book","Zum Adressbuch"
"Grand Total","Gesamtsumme"
"Grand Total: %s","Gesamtsumme: <strong>%s</strong>"
"Group","Gruppe"
"Group ""%s"" can not be deleted","Gruppe ""%s"" kann nicht gelöscht werden"
"Group Information","Gruppeninformationen"
"Group Name","Gruppenname"
"Guest","Gast"
"HTML","HTML"
"Hello, %s!","Hallo, %s!"
"ID","ID"
"IP Address","IP-Adresse"
"If you have an account with us, please log in.","Wenn Sie bei uns ein Benutzerkonto besitzen, melden Sie sich bitte an."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ungültige Option für Attribut %s definiert (%s), überspringe den Eintrag"
"Invalid attribute set specified, skipping the record","Ungültige Attributoption für Attribut %s (%s) definiert, überspringe den Eintrag"
"Invalid current password","Das aktuelle Kennwort ist ungültig"
"Invalid customer data","Ungültige Kundendaten"
"Invalid email address","Ungültige E-Mail-Adresse"
"Invalid email address ""%s""","Ungültige E-Mail-Adresse ""%s"""
"Invalid login or password.","Benutzername oder Kennwort ungültig."
"Invalid option id specified for %s (%s), skipping the record","Ungültige Options-ID angegeben für %s (%s), überspringe den Eintrag"
"Invalid store specified, skipping the record","Ungültiger Shop definiert, überspringe den Eintrag"
"Items Order","Artikelsortierung"
"Last 5 Orders","Letzte 5 Bestellungen"
"Last Activity","Letzte Aktivität"
"Last Name","Nachname"
"Last Url","Letzte URL"
"Last Viewed Items","Zuletzt betrachtete Artikel"
"Last date subscribed","Zuletzt abonniert"
"Last date unsubscribed","Zuletzt gekündigt"
"Last name can't be empty","Nachname kann nicht leer sein"
"Leave empty for default (15 minutes).","Für Standard (15 Minuten) leer lassen."
"Leave empty for default (2). Valid range: 1-4","Für Standard (2) leer lassen. Gültiger Bereich: 1-4"
"Lifetime Sales","Gesamteinnahmen"
"Log In","Log In"
"Log Out","Abmelden"
"Log in or Create an Account","Einloggen oder Konto erstellen"
"Login","Anmelden"
"Login Information","Anmeldeinformation"
"Login and password are required","Login and password are required"
"Login or Create an Account","Anmelden oder Benutzerkonto erstellen"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Adressen verwalten"
"Manage Customers","Kunden verwalten"
"Missing email, skipping the record","E-Mail-Adresse fehlt, Eintrag wird übersprungen"
"Missing firstname, skipping the record","Vorname fehlt, Eintrag wird übersprungen"
"Missing lastname, skipping the record","Nachname fehlt, Eintrag wird übersprungen"
"Month","Monat"
"My Account","Mein Benutzerkonto"
"My Account Dashboard","Übersicht Mein Konto"
"My Dashboard","Meine Übersicht"
"My Orders","Meine Bestellungen"
"My Reviews","Meine Kundenmeinungen"
"My Tags","Meine Schlagwörter"
"My Wishlist","Mein Wunschzettel"
"Name","Name"
"Name and Address Options","Namens- und Adressoptionen"
"Never","Niemals"
"New Address","Neue Adresse"
"New Address Entry","Neuer Adresseintrag"
"New Customer","Neuer Kunde"
"New Customer Address","Neue Kundenanschrift"
"New Customer Group","Neue Kundengruppe"
"New Customer Groups","Neue Kundengruppen"
"New Customers","Neukunden"
"New Group","Neue Gruppe"
"New Password","Neues Kennwort"
"New account","Neues Kundenkonto"
"New account confirmation key","bestätigungs-Schlüssel für neues Konto"
"New account confirmed","Neues Konto bestätigt"
"New password","Neues Kennwort"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Abschluss"
"Newsletter Information","Newsletter-Information"
"Newsletter Received","Newsletter erhalten"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Newsletter-Abo"
"Newsletters","Newsletter"
"No Items Found","Keine Produkte gefunden"
"No Newsletter Found","Kein Newsletter gefunden"
"No item specified.","Kein Artikel angegeben."
"No product collections found","Keine Produktzusammenstellungen gefunden"
"Not Sent","Nicht gesendet"
"Not confirmed, can login","Nicht bestätigt, kann einloggen"
"Not confirmed, cannot login","Nicht bestätigt, kann nicht einloggen"
"Number of lines in a street address ","Anzahl Zeilen in einer Strassenangabe "
"Offline","Offline"
"Online","Online"
"Online Customers","Onlinekunden"
"Online Customers Options","Online-Kunden-Optionen"
"Online Minutes Interval","Online-Minuten-Intervall"
"Order #","Bestell-Nr. "
"Order #%s (%s)","Bestell-Nr. %s (%s)"
"Order List...","Bestellliste..."
"Order Total","Bestellung Gesamtbetrag"
"Orders","Bestellungen"
"PDF","PDF"
"Password","Kennwort"
"Password Management","Kennwort-Verwaltung"
"Password Options","Kennwortoptionen"
"Password can't be empty","Kennwort kann nicht leer sein"
"Password fields can't be empty.","Kennwort-Felder können nicht leer sein."
"Password forgotten","Kennwort vergessen"
"Password minimal length must be more %s","Kennwort muss mindestens %s Zeichen lang sein"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Ihr Kennwort muss mindest aus 6 Zeichen bestehen. Leerzeichen am Anfang oder Ende werden abgeschnitten."
"Paused","Pausiert"
"Payment Method","Zahlweise"
"Pending","Ausstehend"
"Per Website","pro Website"
"Personal Information","Persönliche Information"
"Please enter your email below and we'll send you a new password.","Bitte geben Sie unten Ihre E-Mail-Adresse ein und wir senden Ihnen ein neues Kennwort zu."
"Please enter your email below and we'll send you confirmation link for it.","Bitte geben Sie unten Ihre E-Mail-Adresse ein und wir senden Ihnen einen Bestätigungslink dafür."
"Please enter your email.","Bitte E-Mail-Adresse eingeben."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
"Please select","Bitte wählen Sie"
"Please select region, state or province","Bitte wählen Sie Region, Staat oder Provinz"
"Please, check your e-mail for confirmation key.","Bitte überprüfen Sie Ihre Nachrichten für den Bestätigungs-Schlüssel."
"Prefix","Präfix"
"Prefix dropdown options","Präfix Dropdown-Optionen"
"Price","Preis"
"Primary Billing Address","Primäre Rechnungsadresse"
"Primary Shipping Address","Primäre Versandadresse"
"Problem saving the collection, aborting. Error: %s","Fehler beim Speichern der Zusammenstellung: %s"
"Product","Produkt"
"Product ID","Produkt-ID"
"Product Name","Produktname"
"Product Reviews","Kundenmeinungen"
"Product Tags","Schlagwörter"
"Product name","Produktname"
"Purchase On","Einkauf in"
"Purchased at","Eingekauft bei"
"Qty","Stück"
"Recent Orders","Letzte Bestellungen"
"Records for ""","Einträge für """
"Refunded","Zurückerstattet"
"Registered Customers","Registrierte Kunden"
"Remove","Entfernen"
"Require Emails Confirmation","E-Mail-Bestätigungen erfordern"
"Retrieve address data","Adressdaten finden"
"Retrieve address info","Adressinfo finden"
"Retrieve customer addresses","Kundenadresse finden"
"Retrieve customer data","Kundedaten finden"
"Retrieve customer's groups","Kundengruppen finden"
"Retrieve customers","Kunden finden"
"Retrieve customers info","Kundeninformationen finden"
"Retrieve your confirmation link here","Ihren Bestätigungslink finden Sie hier"
"Retrieve your password here","Ihr Kennwort hier abrufen"
"SKU","Artikelnummer"
"Sales Statistics","Verkaufsstatistik"
"Save","Speichern"
"Save Address","Adresse speichern"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Save Customer","Kunde speichern"
"Save Customer Group","Kundengruppe speichern"
"Save Password","Kennwort speichern"
"Saved ","Gespeichert"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Strichpunkt (;) getrennte Werte.<br/>Beginnen Sie mit einem Strichpunkt, um die erste Option leer zu lassen.<br/>Für offenes Textfeld leer lassen."
"Send Welcome Email after Confirmation","Willkommens-E-Mail nach der Bestätigung senden"
"Send auto-generated password","Automatisch erzeugtes Kennwort senden"
"Send confirmation link","Bestätigungslink senden"
"Send welcome email","Willkommensnachricht senden"
"Sending","Sende"
"Sent","Gesendet"
"Session Start Time","Startzeit der Sitzung"
"Set as Default Billing Address","Als Standard-Rechnungsadresse verwenden"
"Set as Default Shipping Address","Als Standard-Versandanschrift verwenden"
"Share Customer Accounts","Kundenkonten verteilen"
"Ship to First name","Versand an - Vorname"
"Ship to Last name","Versand an - Nachname"
"Shipped to First Name","Versandt an - Vorname"
"Shipped to Last Name","Versandt an - Nachname"
"Shipped to Name","Versandt an - Name"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shopping Cart","Warenkorb"
"Shopping Cart - %d item(s)","Warenkorb - %d Artikel"
"Show Tax/VAT number","MwSt.-Nummer anzeigen"
"Show date of birth","Geburtsdatum anzeigen"
"Show middle name (initial)","Namenszusatz (Initiale) anzeigen"
"Show prefix","Präfix anzeigen"
"Show suffix","Suffix anzeigen"
"Sign Up for Newsletter","Melden Sie sich für unseren Newsletter an."
"Sign up for our newsletter","Melden Sie sich für unseren Newsletter an"
"Skip import row, required field ""%s"" not defined","Import der Zeile übersprungen, benötigtes Feld ""%s"" ist nicht definiert"
"Skip import row, website ""%s"" field not exists","Import der Zeile übersprungen, Website-Feld ""%s"" existiert nicht"
"State/Province","Land/Kanton"
"Status","Status"
"Store","Shop"
"Store View","Shop-Ansicht"
"Street Address","Strasse"
"Street Address ","Street Address "
"Subject","Betreff"
"Submit","Absenden"
"Subscribe","Abonnieren"
"Subscribe to newsletter","Für Newsletter anmelden"
"Subscribed to Newsletter?","Für Newsletter angemeldet?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix-Dropdown-Optionen"
"TAX/VAT number is required.","MwSt.-Nummer benötigt."
"Tag Name","Schlagwort"
"Tax Class","Steuerklasse"
"Tax class","Steuerklasse"
"Tax/VAT number","MwSt.-Nummer"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text einzeilig"
"Thank you for registering with %s","Danke, dass Sie sich bei %s registriert haben"
"The address does not belong to this customer","Diese Adresse gehört nicht zu diesem Kunden"
"The address was successfully deleted","Die Adresse wurde gelöscht"
"The address was successfully saved","Die Adresse wurde gespeichert"
"The suffix that goes after name (Jr., Sr., etc.)","Der Suffix nach dem Namen (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titel vor dem Namen (Herr, Frau, etc.)"
"There are no items in customer's wishlist at the moment","Momentan gibt es keine Artikel auf dem Wunschzettel des Kunden."
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"There was an error while deleting the address","Beim Löschen der Adresse ist ein Fehler aufgetreten"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Diese E-Mail wird anstelle der Standard-Willkommens-E-Mail gesendet, nach der Konten-Bestätigung."
"This account is not confirmed.","Dieses Konto ist nicht bestätigt."
"This customer has no saved addresses.","Dieser Kunde besitzt keine gespeicherten Adressen."
"This e-mail does not require confirmation.","Diese E-Mail benötigt keine Bestätigung."
"This email address was not found in our records","Diese E-Mail-Adresse wurde in unserem System nicht gefunden"
"This is My Primary %s Address","Das ist meine primäre <strong>%s</strong>-Adresse"
"To Cart","Zum Warenkorb"
"Total","Total"
"Type","Typ"
"Unknown","Unbekannt"
"Unsubscribe from newsletter","Vom Newsletter abmelden"
"Update","Aktualisieren"
"Update customer address data","Kunden-Adressdaten aktualisieren"
"Update customer data","Kundendaten aktualisieren"
"Use as My Primary %s Address","Als meine primäre <strong>%s</strong>-Adresse verwenden"
"Use as my default billing address","Bitte als meine Standard-<strong>Rechnungs</strong>adresse verwenden"
"Use as my default shipping address","Bitte als meine Standard-<strong>Versand</strong>adresse verwenden"
"User description","Benutzerbeschreibung"
"View","Anzeigen"
"View Order","Bestellung ansehen"
"View Order List","Bestellungen ansehen"
"Visible In","Sichtbar in"
"Visitor","Besucher"
"Visitors Only","Nur Besucher"
"Website","Website"
"Welcome Email","Willkommens-E-Mail"
"Wishlist","Wunschzettel"
"Wishlist - %d item(s)","Wunschzettel - %d Artikel"
"Wrong confirmation key.","Falscher Bestätigungs-Schlüssel."
"Wrong customer account specified.","Falsches Kundenkonto angegeben."
"Wrong email.","Falsche E-Mail."
"Wrong region id by selected country","Falsche Region-ID für das gewählte Land"
"Wrong transactional account email type.","Falscher Transaktions-Konten-E-Mail-Typ."
"XML","XML"
"YYYY","JJJJ"
"Year","Jahr"
"You are currently not subscribed to any newsletter.","Sie sind momentan zu keinem Newsletter angemeldet."
"You are currently not subscribed to our newsletter","Zur Zeit sind Sie nicht für unseren Newsletter angemeldet"
"You are currently subscribed to 'General Subscription'.","Sie sind momentan für das Abo 'Allgemeines' eingetragen."
"You are currently subscribed to our newsletter","Sie sind momentan für unseren Newsletter eingetragen"
"You are currently subscribed to our newsletter.","Sie sind momentan für unseren Newsletter eingetragen."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden innerhalb von 5 Sekunden zu unserer Startseite weitergeleitet."
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"You have no additional entries in your address book.","Sie haben keine zusätzlichen Einträge in Ihrem Adressbuch."
"You have no default billing address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Rechnungsadresse."
"You have no default shipping address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Versandadresse."
"You have no primary entries in your address book.","In Ihrem Adressbuch befinden sich keine primären Einträge."
"You have not set a primary billing address.","Es wurde keine primäre Rechnungsadresse angegeben."
"You have not set a primary shipping address.","Sie haben keine primäre Versandadresse eingetragen."
"You have placed no orders yet.","Sie haben noch keine Bestellung aufgegeben."
"You have placed no products yet.","Sie haben noch keine Artikel ausgewählt."
"You're now Logged Out","Sie sind jetzt abgemeldet"
"Your account balance is: %s","Ihr Kontostand beträgt: <strong>%s</strong>"
"ZIP","PLZ"
"ZIP/Post Code","Postleitzahl"
"ZIP/Postal Code","Postleitzahl"
"Zip/Postal Code","Postleitzahl"
"n/a","keine Angabe"
"or","oder"
"Please enter your email below and we'll send you a new password.","Bitte geben Sie unten Ihre E-Mail-Adresse ein und wir senden Ihnen ein neues Kennwort zu."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
