"-- Please Select --","-- Bitte auswählen --"
"Add New Class","Neue Klasse anlegen"
"Error while saving this tax class. Please try again later.","Fehler beim Speichern dieser Steuerklasse. Bitte versuchen Sie es später noch einmal."
"Error while saving this tax rule. Please try again later.","Fehler beim Speichern dieser Regel. Bitte versuchen Sie es später noch einmal."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Fehler beim Speichern dieser Regel. Steuerklasse, Kundensteuerklasse, Steuerratenkombination für dieses Produkt"
"Excl. Tax","exkl. MwSt"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","exklusive MwSt."
"Export Tax Rates","Steuersätze exportieren"
"Ignored when 'Apply Tax After Discount' option is enabled","Wird ignoriert, wenn Option 'Steuer nach Rabatt anwenden' aktiviert ist"
"Import / Export Tax Rates","Steuersätze exportieren"
"Import Tax Rates","Steuersätze importieren"
"Inc. Tax","inkl. MwSt."
"Incl. Tax","inkl. MwSt."
"Incl. Tax:","Inkl. MwSt.:"
"Including and excluding tax","Inklusive und exklusive MwSt."
"Including tax","Inklusive MwSt."
"Incorrect rate Data","Ungültige Steuersatzdaten"
"Invalid data for tax rate calculation","Ungültige Daten für die Berechnung des Steuersatzes"
"Invalid file format upload attempt","Ungültiges Dateiformat hochgeladen"
"Invalid file upload attempt","Ungültige Datei hochgeladen"
"Manage Customer Tax Classes","Kundensteuerklassen verwalten"
"Manage Product Tax Classes","Produktsteuerklassen verwalten"
"Manage Tax Rates","Steuersätze verwalten"
"Manage Tax Rules","Regeln verwalten"
"Manage Tax Zones & Rates","Steuerzonen und -sätze verwalten"
"Name","Name"
"New Class","Neue Steuerklasse"
"New Rule","Neue Regel"
"New Tax Rate","Neuer Steuersatz"
"None","Keine"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Nur Originalpreis"
"Please select Country","Bitte Land wählen"
"Please select County","Bitte Kanton wählen"
"Please select State","Bitte Kanton wählen"
"Priority","Priorität"
"Product Tax Class","Produktsteuerklasse"
"Product Tax Class Information","Informationen zu Produktsteuerklasse "
"Product Tax Classes","Produktsteuerklassen"
"Rate","Satz"
"Reset","Zurücksetzen"
"Sales","Verkäufe"
"Save Class","Steuerklasse speichern"
"Save Rate","Steuersatz speichern"
"Save Rule","Regel speichern"
"Shipping prices include tax","Versandkosten beinhalten Steuer"
"Sort Order","Sortierreihenfolge"
"State","Kanton"
"State/Region","Kanton"
"Tax","Steuer"
"Tax Based On","Steuer basiert auf"
"Tax Class for Shipping","Steuerklasse für versand"
"Tax Classes","Steuerklassen"
"Tax Identifier","Steuer Identifikator"
"Tax Rate","Steuersatz"
"Tax Rate Information","Steuersatz-Informationen"
"Tax Rule Information","Steuerregel-Informationen"
"Tax Rules","Steuerregeln"
"Tax Section","Bereich Steuer"
"Tax Titles","Titel der Steuern"
"Tax class was successfully deleted","Steuerklasse wurde gelöscht"
"Tax class was successfully saved","Steuerklasse wurde gespeichert"
"Tax rate was successfully deleted","Steuersatz wurde gelöscht"
"Tax rate was successfully imported","Steuersatz wurde importiert"
"Tax rate was successfully saved","Steuersatz wurde gespeichert"
"Tax rates at the same priority are added, others are compounded.","Steuerklassen mit der selben Priorität werden addiert, andere werden verbunden."
"Tax rule was successfully deleted","Regel wurde gelöscht"
"Tax rule was successfully saved","Regel wurde gespeichert"
"This class no longer exists","Diese Steuerklasse existiert nicht mehr"
"This rule no longer exists","Diese Regel existiert nicht mehr"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Sie können diese Steuerklasse nicht löschen, da sie noch für %s Kundengruppe(n) verwendet wird."
"You cannot delete this tax class as it is used for %d products.","Sie können diese Steuerklasse nicht löschen, da sie noch für %s Produkt(e) verwendet wird."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Sie können diese Steuerklasse nicht löschen, da sie noch in einer oder mehreren Regeln verwendet wird. Bitte löschen Sie diese Regeln zuerst."
"Zip/Post Code","Postleitzahl"
