" and "," und "
"Direction:","Richtung:"
"Display %s first","%s zuerst anzeigen"
"Distributed under GNU LGPL. See %s for details.","Unter GNU LGPL vertrieben. Siehe %s für Details."
"Done By:","Durch:"
"Done by:","Durch:"
"Download Remote File","Entfernte Datei herunterladen"
"Drag to move","Ziehen zum bewegen"
"Edit Role","Rolle bearbeiten"
"Edit User '%s'","Benutzer '%s' bearbeiten"
"Email","E-Mail"
"Email Preview","E-Mail-Vorschau"
"Email:","E-Mail:"
"Enclose Values In:","Umschliesse Werte mit:"
"Entity type:","Entity type:"
"Excl. Tax","exkl. Steuer"
"Exclude","Ausschliessen"
"Expiration Date","Gültig bis"
"Expiration Date: %s/%s","Gültig bis: %s/%s"
"Export","Export"
"Export Filters","Export-Filter"
"Export to:","Export nach:"
"Export:","Export:"
"Extension","Erweiterung"
"Extensions","Erweiterungen"
"FTP Host[:Port]","FTP-Host[:Port]"
"Field Mapping","Feldzuordnung"
"File Information","Dateiinformationen"
"File name:","Dateiname:"
"Final Price","Endpreis"
"Finished items creation.","Artikelerstellung beendet."
"First Name:","Vorname:"
"For latest version visit: %s","Für die neueste Version besuchen Sie: %s"
"From","Von"
"General Settings","Allgemeine Einstellungen"
"Get help for this page","Hilfe zu dieser Seite"
"Global Record Search","Globale Suche"
"Go Today","Gehe zu Heute"
"Google Base Items","Google Base Artikel"
"Group:","Gruppe:"
"Help Us Keep Magento Healthy - Report All Bugs","Helfen Sie mit, Magento weiter zu bringen - melden Sie uns alle Fehler"
"Ignore","Ignorieren"
"Images","Bilder"
"Import","Import"
"Import Service","Importdienst"
"In Database:","In der Datenbank:"
"In File:","In der Datei:"
"Inactive","Inaktiv"
"Incl. Tax","inkl. Steuer"
"Include","Einschliessen"
"Installed As","Installiert als"
"Interactive","Interaktiv"
"Interface Locale: %s","Lokalisierung der Benutzeroberfläche: %s"
"Invalid webservice adapter specified","Ungültiger Webdienst-Adapter angegeben"
"Invalid webservice handler specified","Ungültiger Webdienst-Handler angegeben"
"Invoice History","Rechnungsprotokoll"
"Invoice Totals","Rechnungstotal"
"Issue Number","Vorfallnummer"
"Issuer: %s","Herausgeber: %s"
"Items to merge","Zusammenzufassende Artikel"
"Last 5 Orders","Letzte 5 Bestellungen"
"Last 5 Search Terms","Letzte 5 Suchbegriffe"
"Last Logged In (%s):","Letzter Login (%s):"
"Last Logged In:","Zuletzt eingeloggt:"
"Last Name:","Nachname:"
"Latest Message:","Neueste Nachricht:"
"Leave empty to use tax identifier","Leer lassen um Steuer-Indetifikatoir anzuwenden"
"Level","Ebene"
"License:","Lizenz:"
"Loading...","Lädt..."
"Local Server","Lokaler Server"
"Local/Remote Server","Lokaler/entfernter Server"
"Log Out","Ausloggen"
"Logged in as %s","Eingeloggt als %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Bereich Magento Core API"
"Magento Logo","Magento-Logo"
"Magento ver. %s","Magento Ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; ist ein eingetragenes Warenzeichen von Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Verantwortliche Autoren"
"Manage Stores","Shops verwalten"
"Mapping Configuration","Konfiguration der Zuordnungen"
"Max","Max"
"Merge Now","Jetzt zusammenführen"
"Min","Min"
"Module version conflict!","Modul-Versionskonflikt!"
"N/A","K/A"
"Name","Name"
"Name on Card","Name auf Karte"
"Name on the Card: %s","Name auf der Karte: %s"
"Name:","Name:"
"Next month (hold for menu)","Nächster Monat (halten für Menü)"
"Next page","Nächste Seite"
"Next year (hold for menu)","Nächstes Jahr (halten für Menü)"
"No","Nein"
"No Data Found","Keine Daten gefunden"
"No search keywords.","Keine Suchbegriffe."
"Note:","Notiz:"
"Notes:","Notizen:"
"Number of records:","Anzahl Einträge:"
"Old rate:","Alte Rate:"
"Only mapped fields","Nur zugeordnete Felder"
"Order Totals","bestellungs-Total"
"Order confirmation email not sent","Bestellbestätigung per E-Mail nicht versandt"
"Order confirmation email sent","Bestellbestätigung per E-Mail versandt"
"Original Magento attribute names in first row:","Ursprüngliche Magento-Attributnamen in der ersten Spalte:"
"Package","Paket"
"Package Information","Paketinformation"
"Packages","Pakete"
"Page","Seite"
"Passive mode","Passiver Modus"
"Password","Kennwort"
"Path","Pfad"
"Path:","Pfad:"
"PayPal Email","PayPal-E-Mail"
"Personal Information","Persönliche Informationen"
"Phone:","Telefon:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bitte bestätigen Sie den Site-Wechsel. Alle nicht gespeicherten Daten gehen verloren."
"Please enter 6 or more characters.","Bitte gib 6 oder mehr Zeichen ein."
"Please enter a number greater than 0 in this field.","Bitte gib eine Zahl grösser 0 in dieses Feld ein."
"Please enter a valid $ amount. For example $100.00.","Bitte gib eine gültigen Geldbetrag ein. Zum Beispiel CHF 100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte gib eine gültige URL ein. Zum Beispiel http://www.beispiel.ch oder www.beispiel.ch"
"Please enter a valid URL. http:// is required","Bitte gib eine gültige URL ein. http:// wird benötigt"
"Please enter a valid credit card number.","Bitte gib eine gültige Kreditkartennummer ein."
"Please enter a valid date.","Bitte gib ein gültiges Datum ein."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte gib eine gültige E-Mail-Adresse ein. Zum Beispiel h.muster@domain.ch."
"Please enter a valid number in this field.","Bitte gib eine gültige Zahl in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte gib eine gültige Telefonnummer ein. Zum Beispiel (0) 99 254 7890 oder 099 254-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte gib eine gültige AHV-Nummer ein. Zum Beispiel 123.45.678.000."
"Please enter a valid value from list","Bitte gültigen Wert aus der Liste eingeben"
"Please enter a valid value, ex: 10,20,30","Bitte gültigen Wert eingeben, Bsp: 10,20,30"
"Please enter a valid zip code.","Bitte gib eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte gib eine gültige Postleitzahl ein. Zum Beispiel 8000."
"Please enter valid password.","Bitte gib ein gültiges Kennwort ein."
"Please make sure that your changes were saved before running the profile.","Bitte stelle sicher, daß Deine Änderungen gespeichert wurden bevor Du das Profil ausführst."
"Please make sure your passwords match.","Bitte stelle sicher, daß Deine Passwörter übereinstimmen."
"Please select State/Province.","Bitte Land/Bundesland wählen."
"Please select an option.","Bitte eine Option wählen."
"Please select one of the above options.","Bitte wähle eine der oberen Optionen."
"Please select one of the options.","Bitte wähle eine der Optionen."
"Please use in this field only ""a-z,0-9,_"".","Bitte in diesem Feld nur ""a-z,0-9,_"" benutzen."
"Please use letters only (a-z) in this field.","Bitte nur Kleinbuchstaben (a-z) in diesem Feld benutzen."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Bitte verwende in diesem Feld nur Zahlen. Vermeide Leerzeichen oder andere Sonderzeichen wie Kommas etc."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bitte nur Buchstaben (a-z) oder Zahlen (0-9) in diesem Feld verwenden. Es sind keine Leerzeichen oder andere Zeichen erlaubt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bitte nur Buchstaben (a-z), Zahlen (0-9) oder Leerzeichen und # in diesem Feld verwenden."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte benutze dieses Datumsformat: tt/mm/jjjj. Zum Beispiel 17/03/2006 für den 17. März 2008."
"Please wait, loading...","Bitte warten, lädt..."
"Please, select a store view","Bitte eine Shop-Ansicht auswählen"
"Prev. month (hold for menu)","Vorh. Monat (halten für Menü)"
"Prev. year (hold for menu)","Vorh. Jahr (halten für Menü)"
"Previous page","Vorherige Seite"
"Price","Preis"
"Price:","Preis:"
"Primary Billing Address","Primäre Rechnungsadresse"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Produkt"
"Products","Produkte"
"Profile Information","Profil-Informationen"
"Provided Files","Unterstützte Dateien"
"Qty","Anz"
"Read details","Details lesen"
"Recommended","Empfohlen"
"Remote FTP","Entfernter FTP"
"Remote URL:","Entfernte URL:"
"Remove","Entfernen"
"Resource Access","Quellenzugriff"
"Resources","Quellen"
"Role","Gruppenberechtigung"
"Role Users","Gruppenberechtigung Benutzer"
"Roles","Gruppenberechtigungen"
"Roles Resources","Roles Resources"
"SKU","Artikelnummer"
"SKU:","Artikelnummer:"
"Schedule Merge","Zeitplan für Zusammenführung"
"Select All","Alle wählen"
"Select Date","Datum wählen"
"Select Range","Bereich auswählen"
"Select Visible","Sichtbare wählen"
"Select date","Datum wählen"
"Select website from map","Website aus Zuordnung wählen"
"Select website to map","zuzuordnende Website wählen"
"Shipment Comments","Versandkommentar"
"Shipment History","Versandprotokoll"
"Shipping Address","Versandadresse"
"Shipping address selection is not applicable","Auswahl der Versandadresse ist nicht anwendbar"
"Shipping method selection is not applicable","Auswahl der Versandart ist nicht anwendbar"
"Show Report for","Zeige Bericht für"
"Show by","Zeige nach"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Einige Artikel in dieser Bestellung haben verschiedene Rechnungs- und Versandtypen. Du kannst den Versand erst erstellen, nachdem die Rechnung erstellt wurde."
"Sort Order","Sortierung"
"Spreadsheet Name:","Arbeitsblatt:"
"Staging Store: ","Staging-Shop: "
"Staging Website: ","Staging-Website: "
"Start Date","Startdatum"
"State/Province:","Kanton:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Lagermenge:"
"Store:","Shop:"
"Store: ","Shop: "
"Subpackage","Subpaket"
"Subpackages","Subpakete"
"Summary:","Zusammenfassung:"
"Switch/Solo Only","Nur Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Startdatum Switch/Solo-Karte: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Nur Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) Kartennummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) Karten-Startdatum: %s/%s"
"The information in this tab has been changed.","Die Informationen in diesem Tab wurden geändert."
"This is a required field.","Dies ist ein Pflichtfeld."
"This tab contains invalid data. Please solve the problem before saving.","Dieser Tab enthält ungültige Daten. Bitte vor dem Speichern korrigieren."
"Thumbnail","Vorschaubild"
"Time selection:","Zeitauswahl:"
"Time:","Zeit:"
"To","Bis"
"Top 5 Search Terms","Top 5 Suchbegriffe"
"Total %d records found","Insgesamt %d Einträge gefunden"
"Track order","Bestellung verfolgen"
"Track this shipment","Diese Sendung verfolgen"
"Type","Typ"
"Type:","Typ:"
"Unable to login.","Kann nicht einloggen."
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"Upgrade All Available Packages","Upgrade All Available Packages"
"Upload Local File","Lokale Datei hochladen"
"Upload local file:","Lokale Datei hochladen:"
"Use Default Value","Standardwert benutzen"
"User","Benutzer"
"User Name","Benutzername"
"User Roles","Gruppenberechtigungen des Benutzers"
"User name","Benutzername"
"Users","Benutzer"
"Value Delimiter:","Wert-Trenner:"
"Version:","Version:"
"View","Ansicht"
"View Statistics for","Zeige Statistiken für"
"Visibility:","Sichtbarkeit:"
"Warning! Empty value can cause problems with CSV format.","Warnung! Leerer Wert kann Probleme mit dem CSV-Format hervorrufen."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Webdienste"
"Web Services Configuration","Konfiguration der Webdienste"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Shops"
"What is this?","Was ist das?"
"Yes","Ja"
"You have","Sie haben"
"Your Account has been deactivated.","Ihr Konto wurde deaktiviert."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Ihre PHP-Servereinstellungen erlauben das hochladen von glaichzeitig maximal %s Dateien. Bitte passen Sie die Werte für post_max_size (aktuell %s) und upload_max_filesize (aktuell %s) im php.ini an, wenn Sie grössere Dateien hochladen wollen."
"Zip/Postal Code:","Postleitzahl:"
"critical","kritisch"
"images/logo.gif","images/logo.gif"
"items selected","Artikel ausgewählt"
"major","gross"
"md5sum","md5sum"
"minor","klein"
"notice","Bemerkung"
"of %s pages","von %s Seiten"
"or","oder"
"per page","pro Seite"
"to","bis"
